"City","Latitude","Longitude"
"Amsterdam",52.3676,4.9041
"Athens",37.9838,23.7275
"Belgrade",44.7866,20.4489
"Berlin",52.52,13.405
"Brussels",50.8503,4.3517
"Bucharest",44.4268,26.1025
"Budapest",47.4979,19.0402
"Copenhagen",55.6761,12.5683
"Dublin",53.3498,-6.2603
"Geneva",46.2044,6.1432
"Helsinki",60.1695,24.9354
"Lisbon",38.7167,-9.139
"London",51.5074,-0.1278
"Luxembourg",49.6117,6.1319
"Madrid",40.4168,-3.7038
"Moscow",55.7558,37.6173
"Oslo",59.9139,10.7522
"Paris",48.8566,2.3522
"Prague",50.0755,14.4378
"Rome",41.9028,12.4964
"Sofia",42.6977,23.3219
"Stockholm",59.3293,18.0686
"Vienna",48.2082,16.3738
"Warsaw",52.2297,21.0122
